0.843262 0.29126 , 0.749512 0.0407715
0.817383 0.302002 , 0.727051 0.0452881
0.844238 0.299561 , 0.749512 0.0476379
0.817383 0.302002 , 0.727051 0.0452881
0.822266 0.308838 , 0.72998 0.0516052
0.844238 0.299561 , 0.749512 0.0476379
0.843262 0.712891 , 0.70752 0.246704
0.839844 0.722168 , 0.710449 0.239136
0.852051 0.712402 , 0.693848 0.244507
0.839844 0.722168 , 0.710449 0.239136
0.852051 0.722656 , 0.695313 0.236328
0.852051 0.712402 , 0.693848 0.244507
0.849609 0.738281 , 0.707031 0.182739
0.84082 0.728027 , 0.721191 0.192749
0.841309 0.738281 , 0.721191 0.184448
0.84082 0.728027 , 0.721191 0.192749
0.849609 0.738281 , 0.707031 0.182739
0.852051 0.728027 , 0.706543 0.19104
0.339111 0.628906 , 0.655762 0.219971
0.392822 0.619141 , 0.700684 0.220215
0.334961 0.619141 , 0.65625 0.211792
0.392822 0.619141 , 0.700684 0.220215
0.339111 0.628906 , 0.655762 0.219971
0.388672 0.628906 , 0.697754 0.228027
0.0654297 0.983398 , 0.494385 0.452393
0.0752563 0.961426 , 0.48584 0.434326
0.0455322 0.974609 , 0.47876 0.459717
0.0455322 0.974609 , 0.47876 0.459717
0.0752563 0.961426 , 0.48584 0.434326
0.0518188 0.95166 , 0.467041 0.443848
0.407227 0.833496 , 0.495117 0.566895
0.431152 0.829102 , 0.479248 0.555664
0.425781 0.806152 , 0.467773 0.570801
0.407227 0.833496 , 0.495117 0.566895
0.425781 0.806152 , 0.467773 0.570801
0.397705 0.812012 , 0.486816 0.584961
0.72998 0.691406 , 0.467773 0.570801
0.725586 0.668457 , 0.479248 0.555664
0.701172 0.691406 , 0.452148 0.551758
0.725586 0.668457 , 0.479248 0.555664
0.700684 0.668945 , 0.467285 0.541016
0.701172 0.691406 , 0.452148 0.551758
0.652832 0.108826 , 0.443115 0.52832
0.681641 0.108887 , 0.452148 0.551758
0.678223 0.0864868 , 0.467285 0.541016
0.678223 0.0864868 , 0.467285 0.541016
0.65332 0.0864258 , 0.460693 0.523926
0.652832 0.108826 , 0.443115 0.52832
0.763672 0.690918 , 0.455322 0.50293
0.737305 0.668457 , 0.443115 0.52832
0.735352 0.690918 , 0.460693 0.523926
0.737305 0.668457 , 0.443115 0.52832
0.763672 0.690918 , 0.455322 0.50293
0.770508 0.668457 , 0.436035 0.500977
0.623535 0.106567 , 0.458008 0.489014
0.646973 0.0864258 , 0.436035 0.500977
0.623535 0.0875244 , 0.455322 0.50293
0.646973 0.0864258 , 0.436035 0.500977
0.623535 0.106567 , 0.458008 0.489014
0.647461 0.108826 , 0.439941 0.482178
0.103149 0.605957 , 0.458008 0.489014
0.0802612 0.611328 , 0.465332 0.472656
0.0818481 0.635742 , 0.449707 0.460693
0.103149 0.605957 , 0.458008 0.489014
0.0818481 0.635742 , 0.449707 0.460693
0.108765 0.628906 , 0.439941 0.482178
0.0507813 0.937012 , 0.47876 0.459717
0.0685425 0.90625 , 0.449707 0.460693
0.0455322 0.913086 , 0.465332 0.472656
0.0685425 0.90625 , 0.449707 0.460693
